1,Southern Great Plain (SGP),1,526
2,Eastern North Atlantic (ENA),527,1057
3,North Slope of Alaska (NSA),1058,1236
4,GoAmazon (MAO),1237,1834
5,TRACER (HOU),1835,2361
6,CACTI (COR),2362,2883
7,COMBLE (ANX),2884,3081
8,MAGIC (MAG),3082,3637
9,Southeast US (SEUS),3638,4141
10,Nauru (TWPNAU),4142,4143
11,Manus (TWPMAN),4144,4145
12,Darwin (TWPDAR),4146,4147
13,MAGIC (MAG1),4148,4150
14,MAGIC (MAG2),4151,4154
15,MAGIC (MAG3),4155,4158
16,MAGIC (MAG4),4159,4161
